Date,^DJI
2010-02-01,10325.259765625
2010-03-01,10856.6298828125
2010-04-01,11008.6103515625
2010-05-01,10136.6298828125
2010-06-01,9774.01953125
2010-07-01,10465.9404296875
2010-08-01,10014.7197265625
2010-09-01,10788.0498046875
2010-10-01,11118.490234375
2010-11-01,11006.01953125
2010-12-01,11577.509765625
2011-01-01,11891.9296875
2011-02-01,12226.33984375
2011-03-01,12319.73046875
2011-04-01,12810.5400390625
2011-05-01,12569.7900390625
2011-06-01,12414.33984375
2011-07-01,12143.240234375
2011-08-01,11613.5302734375
2011-09-01,10913.3798828125
2011-10-01,11955.009765625
2011-11-01,12045.6796875
2011-12-01,12217.5595703125
2012-01-01,12632.91015625
2012-02-01,12952.0703125
2012-03-01,13212.0400390625
2012-04-01,13213.6298828125
2012-05-01,12393.4501953125
2012-06-01,12880.08984375
2012-07-01,13008.6796875
2012-08-01,13090.83984375
2012-09-01,13437.1298828125
2012-10-01,13096.4599609375
2012-11-01,13025.580078125
2012-12-01,13104.1396484375
2013-01-01,13860.580078125
2013-02-01,14054.490234375
2013-03-01,14578.5400390625
2013-04-01,14839.7998046875
2013-05-01,15115.5703125
2013-06-01,14909.599609375
2013-07-01,15499.5400390625
2013-08-01,14810.3095703125
2013-09-01,15129.669921875
2013-10-01,15545.75
2013-11-01,16086.41015625
2013-12-01,16576.66015625
2014-01-01,15698.849609375
2014-02-01,16321.7099609375
2014-03-01,16457.66015625
2014-04-01,16580.83984375
2014-05-01,16717.169921875
2014-06-01,16826.599609375
2014-07-01,16563.30078125
2014-08-01,17098.44921875
2014-09-01,17042.900390625
2014-10-01,17390.51953125
2014-11-01,17828.240234375
2014-12-01,17823.0703125
2015-01-01,17164.94921875
2015-02-01,18132.69921875
2015-03-01,17776.119140625
2015-04-01,17840.51953125
2015-05-01,18010.6796875
2015-06-01,17619.509765625
2015-07-01,17689.859375
2015-08-01,16528.029296875
2015-09-01,16284.7001953125
2015-10-01,17663.5390625
2015-11-01,17719.919921875
2015-12-01,17425.029296875
2016-01-01,16466.30078125
2016-02-01,16516.5
2016-03-01,17685.08984375
2016-04-01,17773.640625
2016-05-01,17787.19921875
2016-06-01,17929.990234375
2016-07-01,18432.240234375
2016-08-01,18400.880859375
2016-09-01,18308.150390625
2016-10-01,18142.419921875
2016-11-01,19123.580078125
2016-12-01,19762.599609375
2017-01-01,19864.08984375
2017-02-01,20812.240234375
2017-03-01,20663.220703125
2017-04-01,20940.509765625
2017-05-01,21008.650390625
2017-06-01,21349.630859375
2017-07-01,21891.119140625
2017-08-01,21948.099609375
2017-09-01,22405.08984375
2017-10-01,23377.240234375
2017-11-01,24272.349609375
2017-12-01,24719.220703125
2018-01-01,26149.390625
2018-02-01,25029.19921875
2018-03-01,24103.109375
2018-04-01,24163.150390625
2018-05-01,24415.83984375
2018-06-01,24271.41015625
2018-07-01,25415.189453125
2018-08-01,25964.8203125
2018-09-01,26458.310546875
2018-10-01,25115.759765625
2018-11-01,25538.4609375
2018-12-01,23327.4609375
2019-01-01,24999.669921875
2019-02-01,25916.0
2019-03-01,25928.6796875
2019-04-01,26592.91015625
2019-05-01,24815.0390625
2019-06-01,26599.9609375
2019-07-01,26864.26953125
2019-08-01,26403.279296875
2019-09-01,26916.830078125
2019-10-01,27046.23046875
2019-11-01,28051.41015625
2019-12-01,28538.439453125
2020-01-01,28256.029296875
2020-02-01,25409.359375
2020-03-01,27090.859375
2020-03-04,27090.859375
